production_bk,production_company,production_country,production_language
52592,Jouror Du00e9veloppement,France,Original
52593,B Media 2012,France,Original
52594,SofiTVCinu00e9,France,Original
52595,Du00e9velopimage 2,France,Original
52596,Ciclic - Ru00e9gion Centre,France,Original
52619,Fifty First Films,United Kingdom,Spoken
52630,Jungle Book Entertainment,India,Original
52660,M Productions,United States of America,Original
52660,M Productions,United States of America,Spoken
52723,Inside Track Productions,France,Original
52723,Inside Track Productions,United Kingdom,Spoken
52724,Film Council Premiere Fund,France,Original
52725,Untitled 03,France,Original
52728,Cougar Films Ltd.,United States of America,Original
52729,Minotaur Film Partnership No. 3,United States of America,Original
52739,Two Flints,United States of America,Original
52740,Contagious Entertainment,United States of America,Original
52760,Hometown Films,United States of America,Original
52859,Production One,United States of America,Original
52860,Bates Entertainment,United States of America,Original
52896,Choke Film,United States of America,Original
52909,Bloodline Productions,United States of America,Original
52910,Shallow Focus,United States of America,Original
52924,Sly Predator,United States of America,Original
52925,Matt Baer Films,United States of America,Original
52942,Loumolo & Co.,United States of America,Spoken
52943,Gratitude International,United States of America,Spoken
52944,Lotus Pictures,United States of America,Spoken
52945,Frantic Films,United States of America,Spoken
52946,Maple Shade Films,United States of America,Spoken
52947,Catwoman Films,United States of America,Spoken
52949,Coconut Pete Productions,United States of America,Original
53005,Wheelhouse Entertainment,United States of America,Spoken
53006,Motion Picture Production GmbH & Co. Erste KG,United States of America,Spoken
53007,Black and Blu Entertainment,United States of America,Original
53008,Finestkind,United States of America,Original
53009,Miramax,United States of America,Original
53009,Miramax,United States of America,Original
53009,Miramax,United States of America,Spoken
53009,Miramax,United States of America,Original
53009,Miramax,United States of America,Spoken
53009,Miramax,United States of America,Original
53009,Miramax,United States of America,Original
53009,Miramax,United States of America,Spoken
53009,Miramax,United States of America,Spoken
53009,Miramax,United Kingdom,Original
53009,Miramax,Italy,Spoken
53010,D'Artagnan Productions Limited,Luxembourg,Spoken
53011,Q&Q Medien GmbH,Luxembourg,Spoken
53012,Blue Sea Productions,United States of America,Spoken
53013,Rational Packaging Company,United States of America,Spoken
53014,Lansdown Films,United States of America,Spoken
53042,Woss Group Film Productions,Australia,Original
53047,De Wolfe Music,France,Original
53048,Inside Track 2,France,Original
53060,David Dobkin Productions,United States of America,Spoken
53063,Yannix Technology Corporation,United States of America,Spoken
53155,Tiny Giant Entertainment,United States of America,Original
53194,Ariane Mararu00eda Films,United Kingdom,Original
53195,Nix Films,Spain,Original
53195,Nix Films,United Kingdom,Original
53196,Eter Pictures,United Kingdom,Original
53197,Manto Films,United Kingdom,Original
53198,Pegaso Producciones,United Kingdom,Original
